Feature,Factor1,Factor2,Factor3
fav given,0.14545553,-0.085413976,-0.078043828
followers,0.499397785,0.270443217,0.299197999
friends,0.222355025,0.161760915,0.157247823
statuses,0.328572069,-0.198171579,0.0394829
tokens,0.038991287,-0.166878017,-0.05531447
urls,0.022441151,0.007194323,0.043542101
hashtags,-0.024900855,0.136864434,0.087042476
mentions,0.174970047,0.108822564,-0.24120161
media,0.02768791,0.008844682,0.032191888
trend distance,0.287126525,0.100828234,0.100243406
high retweet,0.250288266,0.112662624,0.162658222